"fips" "scc" "pollutant" "emissions" "type" "year" "data.category" "short.name" "ei.sector" "option.group" "option.set" "scc.level.one" "scc.level.two" "scc.level.three" "scc.level.four" "map.to" "last.inventory.year" "created_date" "revised_date" "usage.notes"
"24021" "223007333T" "PM25-PRI" 0.0014772469 "ON-ROAD" 2002 "Onroad" "Highway Veh - Diesel - Heavy Duty (HDDV) Class 6 & 7 - Urban Local: Tire Wear" "Mobile - On-Road Diesel Heavy Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Diesel" "Heavy Duty Diesel Vehicles (HDDV) Class 6 & 7" "Urban Local: Tire Wear" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"26101" "20200253" "PM25-PRI" 0.05 "POINT" 2008 "Point" "Int Comb /Industrial /Natural Gas /4-cycle Rich Burn" "Fuel Comb - Industrial Boilers, ICEs - Natural Gas" "" "" "Internal Combustion Engines" "Industrial" "Natural Gas" "4-cycle Rich Burn" NA NA "" "" ""
"72005" "2267002039" "PM25-PRI" 6.8224e-05 "NON-ROAD" 2008 "Nonroad" "Off-highway LPG /Construction & Mining Equipt /Concrete/Industrial Saws" "Mobile - Non-Road Equipment - Other" "" "" "Mobile Sources" "LPG" "Construction and Mining Equipment" "Concrete/Industrial Saws" NA NA "12/10/1999 0:00:00" "" ""
"06083" "30502506" "PM25-PRI" 0.00825 "POINT" 2008 "Point" "Construction Sand & Gravel /Bulk Loading" "Industrial Processes - Storage and Transfer" "" "" "Industrial Processes" "Mineral Products" "Construction Sand and Gravel" "Bulk Loading" NA NA "" "" ""
"72079" "2265006030" "PM25-PRI" 0.004643559 "NON-ROAD" 2005 "Nonroad" "Off-highway Gasoline, 4-Stroke /Commercial Equipt /Pressure Washers" "Mobile - Non-Road Equipment - Gasoline" "" "" "Mobile Sources" "Off-highway Vehicle Gasoline, 4-Stroke" "Commercial Equipment" "Pressure Washers" NA NA "" "12/10/1999 0:00:00" ""
"48485" "2230071270" "PM25-PRI" 0.416937 "ON-ROAD" 2008 "Onroad" "Highway Veh - Diesel - Heavy Duty (HDDV) Class 2B - Urban Other Principal Arterial: Total" "Mobile - On-Road Diesel Heavy Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Diesel" "Heavy Duty Diesel Vehicles (HDDV) Class 2B" "Urban Other Principal Arterial: Total" NA NA "12/10/1999 0:00:00" "2/13/2002 0:00:00" ""
"17017" "223007413B" "PM25-PRI" 0.00628007 "ON-ROAD" 2002 "Onroad" "Highway Veh - Diesel - Heavy Duty (HDDV) Class 8A & 8B - Rural Other Principal Arterial: Brake Wear" "Mobile - On-Road Diesel Heavy Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Diesel" "Heavy Duty Diesel Vehicles (HDDV) Class 8A & 8B" "Rural Other Principal Arterial: Brake Wear" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"05099" "2267006015" "PM25-PRI" 0 "NON-ROAD" 1999 "Nonroad" "Off-highway LPG /Commercial Equipt /Air Compressors" "Mobile - Non-Road Equipment - Other" "" "" "Mobile Sources" "LPG" "Commercial Equipment" "Air Compressors" NA NA "12/10/1999 0:00:00" "" ""
"20161" "2265005015" "PM25-PRI" 0.0012268082 "NON-ROAD" 2005 "Nonroad" "Off-highway Gasoline, 4-Stroke /Agricultural Equipt /Agricultural Tractors" "Mobile - Non-Road Equipment - Gasoline" "" "" "Mobile Sources" "Off-highway Vehicle Gasoline, 4-Stroke" "Agricultural Equipment" "Agricultural Tractors" NA NA "" "" ""
"36105" "223007129B" "PM25-PRI" 0.0004775773 "ON-ROAD" 2002 "Onroad" "Highway Veh - Diesel - Heavy Duty (HDDV) Class 2B - Urban Minor Arterial: Brake Wear" "Mobile - On-Road Diesel Heavy Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Diesel" "Heavy Duty Diesel Vehicles (HDDV) Class 2B" "Urban Minor Arterial: Brake Wear" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"30027" "223007419T" "PM25-PRI" 0.00180362511309794 "ON-ROAD" 2005 "Onroad" "Highway Veh - Diesel - Heavy Duty (HDDV) Class 8A & 8B - Rural Minor Collector: Tire Wear" "Mobile - On-Road Diesel Heavy Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Diesel" "Heavy Duty Diesel Vehicles (HDDV) Class 8A & 8B" "Rural Minor Collector: Tire Wear" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
